Site,County,Location,Site type,Element,Age,Sex,Lab code,14C BP,±,  95% cal BC,cal BC,median,d13C,d15N,C:N,,,,,
"MotH, Tara",Meath,inland,passage tomb,cranium,adult,I,GrA-18352,4370,50,2891,2891,2994,-21.9,11.8,N/A,,,,,
"MotH, Tara",Meath,inland,passage tomb,cranium,adult,I,GrA-17668,4355,40,2897,2897,2975,-22.3,11.4,N/A,,,,,
"MotH, Tara",Meath,inland,passage tomb,cranium,adult,I,GrA-18350,3760,50,2343,2026,2176,-22.0,11.1,N/A,,,,,
"MotH, Tara",Meath,inland,passage tomb,cranium,adult,I,GrA-17680,3665,40,2194,1930,2045,-21.7,11.1,N/A,,,,,
"MotH, Tara",Meath,inland,passage tomb,mandible,adolescent,M,GrA-19180,3370,60,1874,1507,1664,-21.7,10.3,3.3,,,,,
Newgrange,Meath,inland,passage tomb,"petrous, L",adult,M,OxA-36079,4473,29,3338,3028,3225,-21.1,11.9,3.2,,,,,
Newgrange,Meath,inland,passage tomb,"petrous, L",adult,F,OxA-36080,4421,30,3320,2922,3053,-22.3,11.4,3.2,,,,,
Parknabinnia,Clare,inland,court tomb,"petrous, R",adult,F,UBA-39192,4917,40,3776,3641,3693,-21.4,9.7,3.2,,,,,
Parknabinnia,Clare,inland,court tomb,"petrous, R",adult,F,UBA-39197,4764,35,3641,3382,3568,-21.6,10.0,3.1,,,,,
Parknabinnia,Clare,inland,court tomb,"petrous, R",adult,F,UBA-39196,4622,41,3618,3138,3450,-21.3,9.6,3.1,,,,,
Parknabinnia,Clare,inland,court tomb,"petrous, R",adult,M,UBA-38309,4751,55,3641,3376,3545,-21.0,10.3,3.2,,,,,
Parknabinnia,Clare,inland,court tomb,"petrous, R",adult,M,UBA-38304,4712,35,3632,3374,3498,-21.2,10.1,3.2,,,,,
Parknabinnia,Clare,inland,court tomb,"petrous, R",adolescent,M,UBA-38316,4679,48,3631,3362,3459,-21.2,9.8,3.2,,,,,
